row_index_1,row_index_2,name_company_1,name_company_2,address_1,address_2,city_1,city_2,state_1,state_2,country_1,country_2,continent_1,continent_2,is_match
17293,13112,U C ENGINEERING AND CONSTRUCTION LIMITED,SOFTWARE HOUSE LIMITED,"Kemp House, 160 City Road, London, London, United Kingdom, EC1V 2NX","Kemp House, 160 City Road, London, United Kingdom, EC1V 2NX",,,,,,,,,1
17304,3108,PERGORA FINANCES INVESTMENTS LTD,FOOD COMPLIANT ENGINEERING LTD,"20-22 Wenlock Road, London, England, N1 7GU","20-22 Wenlock Road, London, N1 7GU",,,,,,,,,1
17378,3412,T A FISHER COMMERCIAL LIMITED,T. A. FISHER (REDFIELDS) LIMITED,"Theale Court 11 - 13 High Street, Theale, Reading, England, RG7 5AH","Theale Court 11 - 13 High Street, Theale, Reading, RG7 5AH",,,,,,,,,1
17429,11217,China Shenhua Energy Co Ltd,Power Construction Corporation of China,"No. 22 Xibinhe Road, Andingmen, Dongcheng District, Beijing, 100011","No. 22, Chegongzhuang West Road, Haidian Distric, Beijing, 100048",,,,,,China,,,1
17520,1105,RusHydro,Mobile Telesystems PJSC,"Moskva, Ul. Malaya Dmitrovka, Dom 7, Moscow, 127006","Moskva, Ul. Marksistskaya, D. 4, Moscow, 109147",,,,,,,,,1
17549,3108,ALL ABOUT PROPERTIES LTD,FOOD COMPLIANT ENGINEERING LTD,"20-22 Wenlock Road, London, England, N1 7GU","20-22 Wenlock Road, London, N1 7GU",,,,,,,,,1
17617,15531,SSAB AB,Autoliv Inc,"Klarabergsviadukten 70, D6, Box 70, Stockholm, 10121","Klarabergsviadukten 70, Section B7, Stockholm, 11164",,,,,Sweden,,,,1
17657,14295,Maire Tecnimont Spa,Fibercop Spa,"VIA GAETANO DE CASTILLIA 6/A, MILANO, 20124, MILANO, ITALY","VIA GAETANO NEGRI 1, MILANO, 20123, MILANO, ITALY",,,,,IT07673571001,IT11459900962,,,1
17887,16149,Poly Property Group Co Ltd,Fullshare Holdings Limited,"Room 2503, Admiralty Centre, Tower 1, 18 Harcourt Road, Hong Kong","Room 2526, 25f, Tower 1, Admiralty Centr, 18 Harcourt Road, Admiralty, Hong Kong",,,,,,,,,1
18197,4771,Q & L MANAGEMENT LTD,NEW ALLEY LIMITED,"114 Colindale Avenue Colindale, London, United Kingdom, NW9 5GX","114 Colindale Avenue, Colindale, London, United Kingdom, NW9 5GX",,,,,,,,,1
18246,17293,ALL ABOUT TIMING LTD,U C ENGINEERING AND CONSTRUCTION LIMITED,"Kemp House, 160 City Road, London, England, EC1V 2NX","Kemp House, 160 City Road, London, London, United Kingdom, EC1V 2NX",,,,,,,,,1
18350,10673,Ingram Micro Inc,Razer Inc,"Suite 100, 3351 Michelson Drive, Irvine, California, 92612","Suite 100, 9 Pasteur, Irvine, California, 92618",,,,,,,,,1
18535,6108,Furukawa Co Ltd,Furukawa Electric Co Ltd,"Tokiwabashi Tower, 2-6-4, Ote-Machi, Chiyoda-Ku, Tokyo, 100-8370","Tokiwabashi Tower, 2-6-4, Otemachi, Chiyoda-Ku, Tokyo, 100-8322",,,,,,,,,1
