id,left_row_index,right_row_index,left_name_company,right_name_company,left_industryname,right_industryname,left_sector,right_sector,left_address,right_address,left_city,right_city,left_state,right_state,left_country,right_country,left_continent,right_continent,left_other,right_other
55275,55275,5462,BEAUTY AND THE BROWS ESSEX LIMITED,BEAUTY AND THE BRIDE LIMITED,,,,,,,,,,,,,,,,
55284,55284,572,StoneX Group Inc,StoneX Group,,,,,,,,,,,,,,,,
55290,55290,25608,GOOD & TRUSTED WILLS LTD,GOOD & TRUSTED STORAGE LTD,,,,,,,,,,,,,,,,
55296,55296,46974,Dundee Precious Metals Inc.,Dundee Precious Metals,,,,,,,,,,,,,,,,
55301,55301,37025,Levi Strauss & Co.,Levi Strauss & Co,,,,,,,,,,,,,,,,
55314,55314,32580,Pampa Energía SA,Pampa Energia SA,,,,,,,,,,,,,,,,
55319,55319,13568,Triangle Tyre Co. Ltd,Triangle Tyre Co Ltd,,,,,,,,,,,,,,,,
55321,55321,36090,O'reilly Automotive,"O'Reilly Automotive, Inc.",,,,,,,,,,,,,,,,
55325,55325,24984,Ryohin Keikaku Co Ltd,Ryohin Keikaku,,,,,,,,,,,,,,,,
55326,55326,21743,Entegris Inc,Entegris,,,,,,,,,,,,,,,,
55328,55328,46125,Boyd Group Services Inc.,Boyd Group Services,,,,,,,,,,,,,,,,
55336,55336,53466,Want Want China Holdings Ltd,Want Want China Holdings,,,,,,,,,,,,,,,,
55349,55349,13972,Coronation Fund Managers Ltd,Coronation Fund Managers,,,,,,,,,,,,,,,,
55353,55353,54270,Siasun Robot&automation,"Siasun Robot&Automation Co.,Ltd.",,,,,,,,,,,,,,,,
55380,55380,37932,Lagardere SCA,Lagardere SA,,,,,,,,,,,,,,,,
55382,55382,21101,Legend Holdings Corp,Legend Holding,,,,,,,,,,,,,,,,
55386,55386,4260,"Zhejiang Huatie Emergency Equipment Science & Technology Co.,Ltd.",Zhejiang Huatie Emergency Equipment Science & Technology,,,,,,,,,,,,,,,,
55395,55395,27278,Hypera SA,Hypera,,,,,,,,,,,,,,,,
55399,55399,37696,Mizuho Leasing Company,Mizuho Leasing Co Ltd,,,,,,,,,,,,,,,,
55402,55402,36585,Wan Hai Lines Ltd,Wan Hai Lines,,,,,,,,,,,,,,,,
55407,55407,39130,Avaya Holdings Corp,Avaya Holdings,,,,,,,,,,,,,,,,
55424,55424,1075,American Tower Corporation,American Tower Corp,,,,,,,,,,,,,,,,
55435,55435,12363,Jiangsu Lihua Animal Husbandry Co Ltd,Jiangsu Lihua Animal Husbandry,,,,,,,,,,,,,,,,
55443,55443,1561,Austevoll Seafood Asa,Austevoll Seafood ASA,,,,,,,,,,,,,,,,
55449,55449,47117,Hopson Development Holdings Ltd,Hopson Development Holdings,,,,,,,,,,,,,,,,
55464,55464,16006,Schroders Plc,Schroders,,,,,,,,,,,,,,,,
55467,55467,40188,Waters Corporation,Waters Corp,,,,,,,,,,,,,,,,
55483,55483,38675,China Suntien Green Energy Corporation,China Suntien Green Energy Corp Ltd,,,,,,,,,,,,,,,,
55484,55484,1061,Nagarro SE,Nagarro,,,,,,,,,,,,,,,,
55505,55505,13957,Kinder Morgan Inc,Kinder Morgan,,,,,,,,,,,,,,,,
